round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round2	european-beech	B-BARE	hidden	0.7417	0.6931	0.2500	0.2569	0.2813	0.3125			99.9000	155.7000	ebecc9742821fb848e5096135fe207b3883e3b4531654e765264451788175b7c	668d55d5669bf986277945570a2df91d9c7f225e9be01fee9c6c66df5e880f0f
round2	european-beech	B-BASE	hidden	0.6000	0.6681	1.0000	0.0403	0.0454	0.0964			129.7000	93.6000	dbb49351843b5e83959f6415799409e88951acb777209a9c67ad0f75b7658eb3	291fe68abf2fcd9ce3ae708df6c3d39369494fde709b62cc9e82d67efe81e427
round2	european-beech	B-WHOLE	leaf-on	0.6965	0.6864	0.1200	0.0868	0.4566	0.5523			79.7000	82.9000	c33f0f92fe9f41571348f50677dd3c706b3f6303aaecc2c3b4ffaf4e7bd09db3	584902b31ffcc6c0ed166942f8ddf0aac988fcad662bc302c68a1742a2d0b9c1
round2	silver-birch	S-BARE	hidden	0.7018	0.7207	0.1500	0.2451	0.4587	0.2226			91.3000	169.5000	027324c7356b2f4bf0aa697262d71a4b23abbd9c9b1593765f52e5729b4a49ae	c13a7c46d7b7d0acf2f7162ee08812a2197e1a645b1e723ef10038ecd8a1a3f0
round2	silver-birch	S-BARK	hidden	1.0675	0.9028	1.0000	0.0000	0.4708	0.4303			92.4000	182.2000	481ce6e1ed4d7df489f6355d5b6afaf6a125039140fe2f7ea24fadccaab1b60a	c5ecf065f878f8290b001fc1a25c3e084da57153c97303aadd7de43c0073fcb2
round2	silver-birch	S-WHOLE	leaf-on	0.8461	0.8778	0.0800	0.2094	0.4426	0.4026			83.0000	111.3000	217df38498c23cb37c52a35e5e68c5c098bbbbedecaffd07049d3dd696dd55c8	4841f3d00792bc1fda5d4431618a41dcd07cbeffbc145372bd2d6eaceb18eb0f
round3	european-beech	B-BARE	hidden	0.7417	0.6981	0.2500	0.2456	0.2813	0.3903			99.9000	147.1000	15c211d7b258c3a671ddcd5c40c1b95bbbca0144b1e835e5372bea47193cbe52	ff5a4798964797005768ed61f607e68e02c30939045ef281095fc5d571e2e8e8
round3	european-beech	B-BASE	hidden	0.6000	0.6681	1.0000	0.1586	0.0454	0.0952			129.7000	82.9000	9f22c8ef81ed636f15722f75569532f7f1f1dbeb90474fd40c777b200aba2c28	a84524463597e21351e15ce9105cfce9ae4e6600b4212113d83a1e2b7802f68f
round3	european-beech	B-WHOLE	leaf-on	0.6965	0.6924	0.1200	0.0788	0.4566	0.6398			79.7000	50.5000	f2516d9bb5e9b79a15876de38635443c1c1917ca2226a772ff49a00c676fdd83	d0f600b5aa50c37f93ba94a0c8ecd9ca2dd386429adb545a57c726faf28121a7
round3	silver-birch	S-BARE	hidden	0.7018	0.6751	0.1500	0.2239	0.4587	0.3112			91.3000	160.0000	516027a76aae43fd7695c6a4e762dce4aedb0f2c54a4feb9c87b1ccd26175e14	000ccaa9d668536009e38f58edc25c26c1657d85fa41727706b1761603eb0157
