arm	round	label	key	cached	feasible	reason	score	seconds	height_m	dbh_m	wood_triangles	leaves	B-WHOLE.width_over_height	B-WHOLE.crown_base	B-WHOLE.occupied	B-WHOLE.outline_deviation	B-WHOLE.centre	B-BARE.width_over_height	B-BARE.crown_base	B-BARE.occupied	B-BARE.outline_deviation	B-BARE.centre	overrides
direction	0	shipped	44136fa355b3	False	True		0.2453	23.1	32.11	1.016	10764600	4928780	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4115	0.113	116.3	{}
direction	1	direction:short_shoot_leaves:down	b5adb738bf6a	False	True		0.243	18.9	32.1	1.016	10764600	3772027	0.7496	0.096	0.5297	0.171	57.1	0.7353	0.3032	0.4113	0.1134	116.3	"{""canopy"": {""shortShootLeaves"": 6}}"
direction	1	direction:short_shoot_spacing:up	7b24e837df9a	False	True		0.2509	18.8	32.06	1.016	10764600	3768979	0.7502	0.0957	0.5261	0.15	57.4	0.7353	0.3032	0.4125	0.1165	116.5	"{""canopy"": {""shortShootSpacing"": 0.04}}"
direction	1	direction:laterals_per_station:down	1abe9433ef89	False	True		0.187	13.1	31.99	1.016	5928360	2705974	0.7518	0.0957	0.4783	0.2016	66.9	0.7353	0.3002	0.3353	0.1362	132.8	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
direction	1	direction:twig_tip_taper:up	60a8ec10bc42	False	True		0.2456	22.7	32.11	1.016	10764600	4928786	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4128	0.1131	116.2	"{""skeleton"": {""habit"": {""twigTipTaper"": 0.35}}}"
direction	2	direction:short_shoot_leaves:down	f435325860d1	False	True		0.1838	11.0	31.99	1.016	5928360	2067363	0.7518	0.0957	0.4753	0.202	68.9	0.7341	0.2997	0.3354	0.1357	132.7	"{""canopy"": {""shortShootLeaves"": 6}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
direction	2	direction:short_shoot_spacing:up	79ad757e2ca1	False	True		0.182	11.0	31.99	1.016	5928360	2066767	0.7512	0.0957	0.472	0.2025	69.4	0.7347	0.2999	0.3352	0.1365	132.9	"{""canopy"": {""shortShootSpacing"": 0.04}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
direction	2	direction:twig_tip_taper:up	71e7c0581422	False	True		0.1877	14.0	31.99	1.016	5928360	2705971	0.7518	0.0957	0.4784	0.2015	66.9	0.7353	0.3002	0.3366	0.1355	132.7	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.35}}}"
direction	2	direction:twig_laterals:down	92b12016a4a1	False	True		0.1724	10.1	32.01	1.016	4413560	2101136	0.7524	0.0958	0.468	0.2052	72.0	0.7358	0.3011	0.3159	0.1369	135.2	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 3}}}"
direction	3	direction:short_shoot_leaves:down	d4cda2d5e079	False	True		0.1695	9.4	32.02	1.016	4413560	1604406	0.753	0.0959	0.4633	0.2055	73.6	0.7375	0.3018	0.316	0.1362	135.2	"{""canopy"": {""shortShootLeaves"": 6}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 3}}}"
direction	3	direction:twig_tip_taper:up	49578331bea4	False	True		0.1729	12.6	32.01	1.016	4413560	2101139	0.7524	0.0958	0.468	0.2052	72.0	0.7358	0.3011	0.3171	0.1364	135.1	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1, ""twigTipTaper"": 0.35}, ""twigs"": {""laterals"": 3}}}"
direction	3	direction:short_shoot_spacing:up	cc0b9d6cedf3	False	True		0.168	8.4	31.99	1.016	4413560	1602843	0.7524	0.0958	0.4602	0.2057	74.1	0.737	0.3016	0.3166	0.1365	135.0	"{""canopy"": {""shortShootSpacing"": 0.04}, ""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 3}}}"
direction	3	direction:twig_laterals:down	288125ee74fe	False	True		0.1542	7.6	32.0	1.016	2947160	1499052	0.7459	0.095	0.4511	0.2165	76.1	0.7314	0.3001	0.2904	0.1384	138.1	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}, ""twigs"": {""laterals"": 2}}}"
