arm	round	label	key	cached	feasible	reason	score	seconds	height_m	dbh_m	wood_triangles	leaves	B-WHOLE.width_over_height	B-WHOLE.crown_base	B-WHOLE.occupied	B-WHOLE.outline_deviation	B-WHOLE.centre	B-BARE.width_over_height	B-BARE.crown_base	B-BARE.occupied	B-BARE.outline_deviation	B-BARE.centre	overrides
jev	0	shipped	44136fa355b3	False	True		0.2453	23.7	32.11	1.016	10764600	4928780	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4115	0.113	116.3	{}
jev	1	jev:twig_tip_taper:up	60a8ec10bc42	False	True		0.2456	23.5	32.11	1.016	10764600	4928786	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4128	0.1131	116.2	"{""skeleton"": {""habit"": {""twigTipTaper"": 0.35}}}"
jev	1	jev:twig_tip_taper:down	97c8515a1af5	False	True		0.2448	23.2	32.11	1.016	10764600	4928781	0.7504	0.096	0.532	0.1698	56.4	0.7358	0.3034	0.4101	0.1134	116.5	"{""skeleton"": {""habit"": {""twigTipTaper"": 0.15}}}"
sweep	0	shipped	44136fa355b3	True	True		0.2453	23.7	32.11	1.016	10764600	4928780	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4115	0.113	116.3	{}
sweep	1	sweep:lateral_pitch:down	e4414336b459	False	True		0.2098	26.1	32.06	1.016	12232320	5642817	0.7542	0.0952	0.4741	0.1991	57.6	0.7035	0.3013	0.3982	0.1346	115.3	"{""skeleton"": {""habit"": {""lateralPitch"": 22.0}}}"
sweep	1	sweep:lateral_pitch:up	0c295384313e	False	True		0.2814	23.1	31.96	1.016	9488360	4322795	0.7518	0.0957	0.5771	0.1121	58.1	0.7286	0.2853	0.423	0.1097	120.0	"{""skeleton"": {""habit"": {""lateralPitch"": 34.0}}}"
sweep	1	sweep:laterals_per_station:down	1abe9433ef89	False	True		0.187	13.4	31.99	1.016	5928360	2705974	0.7518	0.0957	0.4783	0.2016	66.9	0.7353	0.3002	0.3353	0.1362	132.8	"{""skeleton"": {""habit"": {""lateralsPerStation"": 1}}}"
sweep	1	sweep:laterals_per_station:up	045acbd40d06	False	False	gates [] capped=True		11.5	31.95	1.016	14527400	6906373											"{""skeleton"": {""habit"": {""lateralsPerStation"": 3}}}"
sweep	1	sweep:crookedness:down	6635fd2d460d	False	True		0.2284	22.2	32.09	1.016	10762640	4974751	0.7427	0.0959	0.5138	0.1722	57.3	0.7259	0.3034	0.391	0.1135	112.8	"{""skeleton"": {""habit"": {""crookedness"": 0.0}}}"
sweep	1	sweep:crookedness:up	44dedef0f0b7	False	True		0.258	24.0	31.97	1.016	10623640	4888815	0.7506	0.0956	0.5338	0.1423	55.2	0.7336	0.301	0.4122	0.1189	117.2	"{""skeleton"": {""habit"": {""crookedness"": 6.0}}}"
sweep	1	sweep:twig_tip_taper:down	97c8515a1af5	True	True		0.2448	23.2	32.11	1.016	10764600	4928781	0.7504	0.096	0.532	0.1698	56.4	0.7358	0.3034	0.4101	0.1134	116.5	"{""skeleton"": {""habit"": {""twigTipTaper"": 0.15}}}"
sweep	1	sweep:twig_tip_taper:up	60a8ec10bc42	True	True		0.2456	23.5	32.11	1.016	10764600	4928786	0.7504	0.096	0.5321	0.1697	56.4	0.7358	0.3034	0.4128	0.1131	116.2	"{""skeleton"": {""habit"": {""twigTipTaper"": 0.35}}}"
sweep	1	sweep:twig_laterals:down	b4afce9c0c9b	False	True		0.2443	17.5	32.06	1.016	8098400	3844508	0.754	0.0961	0.524	0.1512	58.6	0.737	0.3039	0.394	0.1172	118.9	"{""skeleton"": {""twigs"": {""laterals"": 3}}}"
sweep	1	sweep:twig_laterals:up	757c19143952	False	True		0.2606	26.9	32.06	1.016	13465120	6009707	0.753	0.0959	0.5361	0.1472	55.6	0.7336	0.3033	0.4267	0.1156	114.6	"{""skeleton"": {""twigs"": {""laterals"": 5}}}"
sweep	1	sweep:twig_length_ratio:down	c92051922648	False	True		0.2292	18.5	32.1	1.016	8356440	4047798	0.7542	0.096	0.5178	0.1779	57.4	0.7358	0.3034	0.3888	0.1211	118.5	"{""skeleton"": {""twigs"": {""lengthRatio"": 0.18}}}"
